,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
626,174039206,1,0,0,2,1,2
627,174039271,0,0,0,2,1,1
628,174039298,0,0,0,2,1,1
629,174046630,0,0,0,2,1,1
630,174051414,1,1,1,2,1,4
632,174069025,0,0,0,2,1,1
633,174087433,0,0,0,2,1,1
634,174087454,1,1,0,2,1,3
635,174304886,1,0,0,2,1,2
637,174312438,1,0,0,2,1,2
638,174313002,1,0,0,2,1,2
639,174319034,1,0,0,2,1,2
640,174319490,1,0,0,2,1,2
641,174320073,1,0,0,2,1,2
642,174320112,1,0,0,2,1,2
644,174323839,0,0,0,2,1,1
645,174324106,1,0,0,2,1,2
646,174324157,0,0,0,2,1,1
647,174327327,0,0,0,2,1,1
648,174327876,1,0,0,2,1,2
650,174327899,1,0,0,2,1,2
651,174339778,1,0,0,2,1,2
653,174348543,1,0,0,2,1,2
654,174350420,0,0,0,2,1,1
655,174350429,1,0,0,2,1,2
656,174364216,0,0,0,2,1,1
657,174364321,1,0,0,2,1,2
658,174366169,1,0,0,2,1,2
659,174372686,1,1,0,2,1,3
661,174372709,1,1,0,2,1,3
662,174372718,1,0,0,2,1,2
663,174590564,1,0,0,2,1,2
664,174590568,1,0,0,2,1,2
665,174596002,1,0,0,2,1,2
666,174596010,1,0,0,2,1,2
667,174596075,1,0,0,2,1,2
670,174611559,1,1,0,2,1,3
671,174613391,1,0,0,2,1,2
672,174618192,1,0,0,2,1,2
673,174619773,1,0,0,2,1,2
674,174620373,0,0,0,2,1,1
676,174620407,1,0,0,2,1,2
677,174620523,1,0,0,2,1,2
678,174620527,1,0,0,2,1,2
679,174620822,1,0,0,2,1,2
681,174622670,1,1,0,2,1,3
682,174622674,1,0,0,2,1,2
683,174622736,1,0,0,2,1,2
684,174624813,0,0,0,2,1,1
685,174626686,0,0,0,2,1,1
686,174628515,0,0,0,2,1,1
687,174630976,1,0,0,2,1,2
688,174631055,1,0,0,2,1,2
689,174631108,0,0,0,2,1,1
691,174636742,0,0,0,2,1,1
692,174637376,1,0,0,2,1,2
693,174637379,1,0,0,2,1,2
694,174637668,0,0,0,2,1,1
695,174637672,1,1,1,2,1,4
696,174644233,1,0,0,2,1,2
697,174644314,0,0,0,2,1,1
698,174673496,0,0,0,2,1,1
699,174674861,0,0,0,2,1,1
700,174682667,1,1,0,2,1,3
701,174693891,0,0,0,2,1,1
702,174695594,0,0,0,2,1,1
705,174705288,1,0,0,2,1,2
706,174826773,1,0,0,2,1,2
707,174890934,1,1,1,2,1,4
708,174890943,0,0,0,2,1,1
709,174890969,1,1,0,2,1,3
710,174894098,0,0,0,2,1,1
711,174894504,0,0,0,2,1,1
712,174894511,0,0,0,2,1,1
713,174894602,0,0,0,2,1,1
714,174895929,1,0,0,2,1,2
715,174896250,0,0,0,2,1,1
716,174896565,0,0,0,2,1,1
717,174896572,0,0,0,2,1,1
718,174896772,1,0,0,2,1,2
719,174897658,1,0,0,2,1,2
720,174897663,1,0,0,2,1,2
721,174901542,1,0,0,2,1,2
722,174901560,1,0,0,2,1,2
723,174901567,1,99,0,2,1,2
724,174901600,1,0,0,2,1,2
725,174903981,1,0,0,2,1,2
726,174904068,0,0,0,2,1,1
727,174904733,1,0,0,2,1,2
730,174911437,0,0,0,2,1,1
731,174911503,0,0,0,2,1,1
732,174911650,1,0,0,2,1,2
733,174911695,0,0,0,2,1,1
734,174911838,0,0,0,2,1,1
735,174911848,0,0,0,2,1,1
736,174911893,0,0,0,2,1,1
738,174911904,0,0,0,2,1,1
739,174913120,0,0,0,2,1,1
740,174914202,1,0,0,2,1,2
741,174914203,1,0,0,2,1,2
742,174914958,0,0,0,2,1,1
744,174915084,0,0,0,2,1,1
747,174916489,0,0,0,2,1,1
748,174916494,0,0,0,2,1,1
749,174916515,0,0,0,2,1,1
750,174916520,0,0,0,2,1,1
751,174917165,1,0,0,2,1,2
752,174917169,1,0,0,2,1,2
753,174918925,0,0,0,2,1,1
755,174919231,1,1,1,2,1,4
756,174919245,1,99,0,2,1,2
757,174920777,1,0,0,2,1,2
758,174920864,0,0,0,2,1,1
759,174923420,0,0,0,2,1,1
760,174923616,0,0,0,2,1,1
761,174923693,1,0,0,2,1,2
762,174923800,0,0,0,2,1,1
763,174924571,0,0,0,2,1,1
766,174925466,1,0,0,2,1,2
767,174928378,1,0,0,2,1,2
768,174932498,0,0,0,2,1,1
769,174933875,0,0,0,2,1,1
770,174937123,0,0,0,2,1,1
771,174937776,1,0,0,2,1,2
772,174937777,0,0,0,2,1,1
773,174937782,0,0,0,2,1,1
774,174954861,0,0,0,2,1,1
775,174954865,1,0,0,2,1,2
776,174954870,0,0,0,2,1,1
777,174954885,0,0,0,2,1,1
778,175091916,0,0,0,2,1,1
779,175094397,1,1,0,2,1,3
780,175094427,1,0,0,2,1,2
781,175094455,0,0,0,2,1,1
783,175103812,1,0,0,2,1,2
784,175105075,0,0,0,2,1,1
785,175106775,1,0,0,2,1,2
786,175107544,0,0,0,2,1,1
787,175107545,1,0,0,2,1,2
788,175107547,1,0,0,2,1,2
789,175107550,1,1,1,2,1,4
790,175107904,1,0,0,2,1,2
791,175107909,0,0,0,2,1,1
792,175110364,1,0,0,2,1,2
793,175111244,1,1,0,2,1,3
795,175111286,1,0,0,2,1,2
