,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
73,175641351,1,0,0,4,0,2
74,175647708,1,0,0,3,0,2
75,175654677,0,0,0,3,0,1
76,175656203,0,0,0,3,0,1
77,175656327,0,0,0,4,0,1
78,175657938,0,0,0,3,0,1
79,175657942,0,0,0,3,0,1
80,175657943,1,0,0,3,0,2
81,175657946,1,0,0,3,0,2
82,175657948,0,0,0,3,0,1
83,175659782,1,1,1,4,0,4
84,175665925,0,0,0,3,0,1
85,175666759,0,0,0,3,0,1
86,175669176,1,0,0,3,0,2
87,175669181,0,0,0,3,0,1
88,175669186,1,0,0,3,0,2
89,175669191,0,0,0,3,0,1
90,175669207,0,0,0,3,0,1
91,175671860,0,0,0,4,0,1
92,175672397,0,0,0,3,0,1
93,175676901,0,0,0,3,0,1
94,175904458,1,0,0,3,0,2
95,175904468,0,0,0,3,0,1
96,175904476,1,0,0,3,0,2
97,175904485,1,0,0,3,0,2
98,175910503,1,0,0,3,0,2
99,175910514,0,0,0,3,0,1
100,175910875,1,1,0,3,0,3
101,175910880,0,0,0,3,0,1
102,175912661,0,0,0,3,0,1
103,175934281,1,0,0,3,0,2
104,175937606,0,0,0,4,0,1
105,175937607,1,1,1,3,0,4
106,175937608,0,0,0,3,0,1
107,175937610,0,0,0,3,0,1
108,175937612,0,0,0,3,0,1
109,175937613,0,0,0,3,0,1
110,175939506,0,0,0,3,0,1
111,176166066,0,0,0,3,0,1
112,176174040,1,0,0,3,0,2
113,176174043,1,0,0,3,0,2
114,176174046,0,0,0,3,0,1
115,176176824,0,0,0,3,0,1
116,176176826,0,0,0,4,0,1
117,176188239,1,0,0,4,0,2
118,176196571,1,0,0,3,0,2
119,176196577,0,0,0,4,0,1
120,176199885,0,0,0,4,0,1
121,176199886,0,0,0,3,0,1
122,176199887,0,0,0,4,0,1
123,176199890,0,0,0,3,0,1
124,176199892,1,1,1,3,0,4
125,176222149,0,0,0,3,0,1
126,176222158,0,0,0,3,0,1
127,176222160,0,0,0,3,0,1
128,176222163,0,0,0,3,0,1
129,176452888,0,0,0,3,0,1
130,176452893,0,0,0,3,0,1
131,176452903,1,0,0,3,0,2
132,176452907,0,0,0,3,0,1
133,176469851,0,0,0,3,0,1
